Metagenomes,Number_of_sequencing_pairs,Number_of_QC_sequencing_pairs,NCBI Biosample,HBD01,HBD02,HBD03,HBD05,HBD06,HBD07,HBD08,HBD09,,Location,Project,Depth_(m),Depth_Id,Size_fractionnation_(um),Year,Month,Day,Latitude,Longitude,Chlorophyll Sensor s,Mean_Temperature,Mean_Salinity,Mean_Oxygen,Mean_Nitrates,NO2,PO4,NO2NO3,SI
PON_138_05M,171139183,161149347,SAMEA2623350,0,0,0.372997712,0,5.947488584,1.174208145,1.815347722,0,,Pacific_Ocean_(North),TARA_Oceans,5.35,SRF,0.22-3,2011,12,10,6.33,-102.94,0.37,26.60,33.40,196.90,-1.20,0.00,0.16,0.00,1.19
PON_138_60M,195911486,180638151,SAMEA2623370,0,0,10.63386728,1.151927438,0,0,0,0,,Pacific_Ocean_(North),TARA_Oceans,58.10,DCM,0.22-3,2011,12,11,6.34,-102.98,0.24,19.00,34.60,77.00,22.10,0.83,1.11,12.90,8.07
PON_140_05M,185167291,172959746,SAMEA2623426,0,0,2.370709382,0,2.159817352,0.522624434,0,0,,Pacific_Ocean_(North),TARA_Oceans,5.41,SRF,0.22-3,2011,12,21,7.41,-79.30,0.73,26.60,28.90,205.30,-3.80,0.00,0.08,0.00,0.54
PSE_100_05M,186567128,178806708,SAMEA2622097,0,0,0,0,1.598173516,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,5.48,SRF,0.22-3,2011,4,15,-12.99,-95.99,0.28,25.30,35.80,200.20,4.60,0.14,0.68,6.20,1.20
PSE_100_50M,170541918,160202146,SAMEA2622119,0,0,0,0,11.2739726,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,57.62,DCM,0.22-3,2011,4,15,-12.99,-95.99,0.74,20.60,35.50,216.80,1.50,0.16,0.78,5.70,1.90
PSE_102_05M,168946455,159774738,SAMEA2622173,0,0,0,0,5.949771689,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,5.48,SRF,0.22-3,2011,4,21,-5.25,-85.16,0.32,24.90,34.70,206.00,11.70,0.32,1.00,12.60,5.00
PSE_102_40M,204588052,194489634,SAMEA2622219,0,0,0,0,29.52283105,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,45.66,DCM,0.22-3,2011,4,22,-5.27,-85.23,0.46,19.60,34.90,103.90,20.30,1.20,1.86,24.40,10.50
PSE_109_05M,186059482,173906475,SAMEA2622316,0,0,0,0.219954649,0,0,0,3.789473684,,Pacific_Ocean_(South_East),TARA_Oceans,5.40,SRF,0.22-3,2011,5,12,1.99,-84.58,0.20,27.60,33.40,198.60,1.20,0.04,0.27,0.90,1.70
PSE_109_30M,170004329,161900698,SAMEA2622336,0,0,0,0,0,0,0,0.514354067,,Pacific_Ocean_(South_East),TARA_Oceans,29.81,DCM,0.22-3,2011,5,13,2.08,-84.52,0.38,26.50,34.30,203.10,3.90,0.11,0.50,4.60,3.20
PSE_110_05M,160898544,152406691,SAMEA2622376,0,0,0,40.15419501,0,0,0,1.461722488,,Pacific_Ocean_(South_East),TARA_Oceans,5.46,SRF,0.22-3,2011,5,21,-2.01,-84.59,0.05,23.90,35.00,190.80,6.70,0.31,0.75,8.20,3.90
PSE_110_50M,211750391,191740452,SAMEA2622402,0,0,8.901601831,4.01814059,3.102739726,0,0,1.705741627,,Pacific_Ocean_(South_East),TARA_Oceans,48.69,DCM,0.22-3,2011,5,21,-1.84,-84.63,0.17,21.80,35.10,144.60,10.90,0.41,0.93,10.70,6.00
PSE_111_05M,190182767,176459274,SAMEA2622452,0,0,0,4.646258503,0.237442922,0,0,1.444976077,,Pacific_Ocean_(South_East),TARA_Oceans,5.89,SRF,0.22-3,2011,5,31,-16.96,-100.63,0.32,22.80,36.00,208.90,2.60,0.04,0.50,2.68,1.00
PSE_111_90M,187063957,173792479,SAMEA2622478,0,0,0,0,0,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,88.99,DCM,0.22-3,2011,5,31,-16.96,-100.70,0.29,19.90,35.70,211.50,1.40,0.20,0.44,0.93,0.90
PSE_93_05M,137491742,133182810,SAMEA2621779,0,0,0,0,2.226027397,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,5.33,SRF,0.22-3,2011,3,12,-34.05,-73.08,0.23,18.00,34.30,244.90,-1.50,0.01,0.52,0.02,0.09
PSE_93_35M,169305863,156224214,SAMEA2621812,0,0,0,0,0,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,33.77,DCM,0.22-3,2011,3,12,-33.88,-73.05,0.29,16.40,34.30,237.20,0.70,0.37,1.07,7.55,0.59
PSE_94_05M,230009431,216238865,SAMEA2621839,0,0,0,0,2.235159817,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,5.43,SRF,0.22-3,2011,3,18,-32.78,-87.09,0.45,21.10,34.70,219.20,-0.40,0.00,0.28,0.03,0.09
PSE_96_05M,188910040,177958391,SAMEA2621859,0,0,0,0,5.657534247,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,5.51,SRF,0.22-3,2011,3,24,-29.72,-101.16,0.06,23.80,35.80,204.10,-0.40,0.00,0.16,0.02,0.53
PSE_98_05M,126571370,119525182,SAMEA2621990,0,0,0,0,0.901826484,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,5.56,SRF,0.22-3,2011,4,3,-25.83,-111.78,0.04,25.10,36.40,200.50,-1.60,0.00,0.20,0.05,0.38
PSE_99_05M,169274791,139771207,SAMEA2622074,0,0,0,0,0.753424658,0,0,0,,Pacific_Ocean_(South_East),TARA_Oceans,5.40,SRF,0.22-3,2011,4,9,-21.15,-104.79,0.44,23.80,36.10,204.00,-1.70,0.00,0.29,0.04,0.55
PSW_112_05M,199504187,183825084,SAMEA2622518,0,0,0,2.215419501,4.267123288,0,0,4.744019139,,Pacific_Ocean_(South_West),TARA_Oceans,5.44,SRF,0.22-3,2011,6,14,-23.28,-129.40,0.29,24.20,36.50,202.20,-0.90,0.01,0.14,0.03,0.80
PSW_122_05M,139190159,133142079,SAMEA2622652,0.323741007,0,0,2.804988662,9.073059361,0,0,2.337320574,,Pacific_Ocean_(South_West),TARA_Oceans,5.86,SRF,0.22-3,2011,7,26,-8.99,-139.21,,26.50,35.40,186.20,4.00,0.12,0.57,5.46,2.19
PSW_123_05M,171142153,160447865,SAMEA2622710,11.19664269,0.673123487,0,0,18.88127854,0,0,6.746411483,,Pacific_Ocean_(South_West),TARA_Oceans,5.54,SRF,0.22-3,2011,7,31,-8.91,-140.28,0.01,26.60,35.40,189.80,3.90,0.14,0.53,4.90,2.22
PSW_124_05M,184209882,176765172,SAMEA2622759,2.21822542,0.535108959,0,1.900226757,6.068493151,0,0,1.370813397,,Pacific_Ocean_(South_West),TARA_Oceans,9.90,SRF,0.22-3,2011,8,5,-9.11,-140.58,0.33,26.50,35.40,190.70,5.10,0.16,0.63,6.18,2.52
PSW_125_05M,164252574,157449184,SAMEA2622817,0.522781775,0,0,0.693877551,2.826484018,0,0,4.325358852,,Pacific_Ocean_(South_West),TARA_Oceans,5.46,SRF,0.22-3,2011,8,8,-8.91,-142.56,0.04,26.80,35.40,187.30,5.00,0.19,0.56,3.73,1.80
PSW_128_05M,153192261,125277547,SAMEA2622901,0,0.92251816,0,0,3.993150685,0,6.23501199,0.066985646,,Pacific_Ocean_(South_West),TARA_Oceans,5.45,SRF,0.22-3,2011,9,4,0.00,-153.68,0.13,26.10,35.10,179.90,2.50,0.27,0.54,5.08,2.67
PSW_128_40M,148907935,142551731,SAMEA2622923,0,8.084745763,0,0,1.819634703,0,5.184652278,3.174641148,,Pacific_Ocean_(South_West),TARA_Oceans,41.66,DCM,0.22-3,2011,9,4,0.00,-153.68,0.16,26.10,35.10,177.00,4.40,0.28,0.55,5.26,2.74
RED_31_05M,200875762,179887395,SAMEA2619802,0,0,0,0,0,0,0,0,,Red_Sea,TARA_Oceans,5.43,SRF,0.22-1.6,2010,1,9,27.16,34.83,0.30,25.10,40.00,188.80,-0.10,0.01,0.02,0.03,0.82
RED_32_05M,176489756,169546486,SAMEA2619818,0,0,0,0,0,0,0,0,,Red_Sea,TARA_Oceans,5.43,SRF,0.22-1.6,2010,1,11,23.36,37.22,0.13,25.80,39.70,188.40,-0.50,0.01,0.02,0.00,0.87
RED_32_80M,197011370,181509024,SAMEA2619840,0,0,0,0,0,0,0,0,,Red_Sea,TARA_Oceans,85.47,DCM,0.22-1.6,2010,1,11,23.38,37.29,0.17,26.10,40.20,180.00,1.20,0.01,0.03,0.01,0.85
RED_33_05M,127535172,115924494,SAMEA2619857,0,0,0,0,0,0,0,0,,Red_Sea,TARA_Oceans,5.37,SRF,0.22-1.6,2010,1,13,21.98,38.24,0.21,27.30,38.90,182.80,0.00,0.00,0.05,0.00,1.15
RED_34_05M,120654212,111236295,SAMEA2619879,0,0,0,0,0,0,0,0,,Red_Sea,TARA_Oceans,5.43,SRF,0.22-1.6,2010,1,20,18.40,39.88,0.20,27.60,38.60,184.10,-0.90,0.02,0.19,0.03,3.91
RED_34_60M,224708079,205417117,SAMEA2619907,0,0,0,0,0,0,0,0,,Red_Sea,TARA_Oceans,60.13,DCM,0.22-1.6,2010,1,20,18.40,39.86,0.34,27.60,38.90,175.40,0.10,0.27,0.09,0.64,1.35
SOC_84_05M,221165348,204696214,SAMEA2621487,0,0,0,0,1.878995434,0,0,0,,Southern_Ocean,TARA_Oceans,5.90,SRF,0.22-3,2011,1,3,-60.23,-60.65,0.04,1.80,33.70,338.30,24.40,0.27,1.72,25.30,16.55
SOC_85_05M,200850545,169641632,SAMEA2621509,0,0,0,0,0.107305936,0,0,0,,Southern_Ocean,TARA_Oceans,5.94,SRF,0.22-3,2011,1,6,-62.03,-49.54,0.25,0.70,34.40,343.40,27.50,0.11,2.11,28.50,79.52
SOC_85_90M,218489282,196949989,SAMEA2621536,0,0,0,0,0,0,0,0,,Southern_Ocean,TARA_Oceans,87.44,DCM,0.22-3,2011,1,6,-62.24,-49.18,0.24,-0.80,34.30,325.40,33.10,0.06,2.31,31.00,81.82
